iter	MultiClass
0	1.066611877
1	1.037316074
2	1.010633433
3	0.9854372048
4	0.9624884416
5	0.9407167007
6	0.9209865
7	0.8996941641
8	0.8862049178
9	0.8702741944
10	0.8573110931
11	0.8428170465
12	0.8272483601
13	0.8167970061
14	0.8063856381
15	0.7940259872
16	0.7823966999
17	0.7704579946
18	0.7603510069
19	0.7524325778
20	0.7426326735
21	0.734877737
22	0.7247871616
23	0.714217168
24	0.7036051517
25	0.6977660018
26	0.6871027846
27	0.6795251784
28	0.6738752654
29	0.6679624328
30	0.6606033049
31	0.6519527981
32	0.6449064236
33	0.6368654799
34	0.630357208
35	0.6251107244
36	0.6168343566
37	0.6116592094
38	0.6043227274
39	0.6001399028
40	0.5937907789
41	0.5893707676
42	0.5840681343
43	0.5783504347
44	0.572868162
45	0.5675270585
46	0.5619732126
47	0.5601520939
48	0.5544324379
49	0.5501335743
50	0.5468735941
51	0.5433285102
52	0.5386130222
53	0.5337582509
54	0.5293208467
55	0.5259329852
56	0.5206128208
57	0.5161898049
58	0.5109405708
59	0.5069810913
60	0.5001776195
61	0.496171967
62	0.4927462857
63	0.4900367426
64	0.4864079116
65	0.4822391941
66	0.4789595157
67	0.4744907494
68	0.4696586886
69	0.4665066321
70	0.4636515206
71	0.4603115302
72	0.4581437062
73	0.4536980064
74	0.4501475393
75	0.4470292109
76	0.4436875384
77	0.4411357677
78	0.4385794079
79	0.4352760719
80	0.4311559005
81	0.4275922422
82	0.4243112196
83	0.4206671501
84	0.4176025459
85	0.4163024013
86	0.4138282671
87	0.4120672411
88	0.4088089511
89	0.4062049765
90	0.4032176609
91	0.4000432654
92	0.3972069089
93	0.3943290445
94	0.3910964754
95	0.3885774816
96	0.3855895769
97	0.3828312894
98	0.3801160458
99	0.3767063135
100	0.3738311711
101	0.3712800907
102	0.3690348241
103	0.366209044
104	0.3651915579
105	0.3632382127
106	0.3595424931
107	0.3568163149
108	0.3540356409
109	0.3519692291
110	0.3493776409
111	0.3463327834
112	0.3427833385
113	0.3406802656
114	0.3383705349
115	0.3351986945
116	0.3326363386
117	0.3294393739
118	0.3265805883
119	0.3244529043
120	0.3220427029
121	0.3191266868
122	0.3167285764
123	0.3144075363
124	0.3122790507
125	0.3101046185
126	0.3078323953
127	0.305773608
128	0.3033564048
129	0.3016064249
130	0.2996033261
131	0.2973952825
132	0.2950559719
133	0.2930792847
134	0.2917139016
