iter	Passed	Remaining
0	4	3997
1	7	3879
2	12	4039
3	16	4091
4	20	4154
5	24	4107
6	30	4367
7	35	4394
8	40	4451
9	44	4375
10	48	4394
11	52	4337
12	56	4282
13	60	4232
14	63	4183
15	67	4176
16	71	4139
17	74	4082
18	79	4087
19	82	4019
20	85	3972
21	88	3933
22	91	3896
23	95	3870
24	98	3846
25	102	3829
26	105	3801
27	109	3809
28	113	3796
29	116	3779
30	120	3766
31	123	3749
32	127	3727
33	130	3694
34	132	3665
35	136	3643
36	139	3634
37	142	3614
38	145	3596
39	148	3574
40	152	3561
41	155	3549
42	158	3538
43	162	3522
44	165	3504
45	168	3491
46	171	3485
47	174	3463
48	177	3452
49	181	3454
50	185	3450
51	195	3565
52	200	3579
53	203	3569
54	207	3570
55	211	3572
56	215	3568
57	219	3569
58	222	3553
59	226	3547
60	229	3536
61	233	3527
62	236	3514
63	239	3504
64	243	3497
65	247	3495
66	250	3484
67	253	3469
68	256	3459
69	259	3447
70	262	3431
71	265	3421
72	268	3408
73	271	3397
74	274	3389
75	278	3385
76	281	3374
77	284	3364
78	287	3355
79	290	3344
80	293	3334
81	297	3328
82	300	3317
83	303	3306
84	306	3296
85	309	3292
86	313	3289
87	317	3289
88	320	3280
89	323	3271
90	326	3262
91	329	3256
92	333	3248
93	336	3241
94	339	3232
95	342	3226
96	345	3218
97	348	3210
98	352	3207
99	355	3201
100	359	3200
101	363	3197
102	366	3193
103	370	3193
104	374	3194
105	378	3192
106	381	3187
107	385	3179
108	388	3175
109	392	3175
110	395	3166
111	398	3159
112	401	3153
113	405	3148
114	408	3143
115	411	3137
116	414	3130
117	418	3127
118	422	3125
119	426	3125
120	429	3120
121	433	3116
122	436	3112
123	440	3110
124	443	3105
125	447	3102
126	450	3095
127	453	3089
128	456	3083
129	460	3079
130	463	3075
131	466	3066
132	469	3061
133	472	3055
134	475	3049
135	479	3046
136	482	3040
137	485	3034
138	489	3029
139	492	3023
140	495	3018
141	498	3011
142	502	3008
143	505	3003
144	508	3000
145	511	2994
146	515	2990
147	518	2986
148	522	2982
149	525	2977
150	528	2971
151	531	2965
152	535	2961
153	538	2957
154	541	2952
155	544	2947
156	548	2944
157	552	2942
158	556	2941
159	559	2937
160	564	2939
161	568	2942
162	573	2943
163	579	2951
164	582	2947
165	585	2943
166	589	2940
167	596	2952
168	600	2951
169	604	2951
170	608	2949
171	612	2946
172	615	2940
173	618	2934
174	621	2929
175	624	2923
176	627	2918
177	631	2915
178	634	2908
179	637	2904
180	640	2898
181	643	2894
182	647	2888
183	650	2885
184	653	2879
185	656	2873
186	659	2868
187	662	2862
188	666	2859
189	669	2855
190	672	2850
191	675	2844
192	679	2840
193	682	2836
194	686	2832
195	689	2827
196	692	2822
197	695	2818
198	699	2814
199	702	2809
200	705	2805
201	709	2802
202	712	2797
203	715	2792
204	718	2786
205	721	2781
206	725	2777
207	728	2772
208	731	2767
209	734	2761
210	738	2760
211	742	2758
212	745	2755
213	749	2751
214	753	2749
215	757	2748
216	760	2744
217	764	2740
218	767	2735
219	770	2732
220	774	2728
221	777	2724
222	780	2720
223	783	2715
224	787	2711
225	790	2708
226	794	2706
227	798	2702
228	801	2697
229	804	2694
230	808	2691
231	812	2688
232	816	2688
233	820	2684
234	823	2681
235	827	2678
236	831	2675
237	834	2671
238	838	2668
239	841	2665
240	845	2661
241	848	2658
242	852	2656
243	855	2651
244	859	2649
245	862	2644
